date,equity,cash,positions
20230804,99987.80185934526,0.0,5
20230807,102908.60542449536,0.0,5
20230808,102983.40061269587,0.0,5
20230809,101248.43889625114,0.0,5
20230810,101693.24639673231,0.0,5
20230811,99815.43146368,7.275957614183426e-12,5
20230814,100877.4645396497,0.0,5
20230815,98590.26854948886,0.0,5
20230816,97139.08623121276,0.0,5
20230817,99405.27172824573,0.0,5
20230818,96009.90703913987,0.0,5
20230821,94883.46052498341,0.0,5
20230822,96447.59153544443,0.0,5
20230823,93783.98594570422,19292.728223842012,4
20230824,94096.20855526066,0.0,5
20230825,91899.85008393035,0.0,5
20230828,94616.93500763783,0.0,5
20230829,99994.10905208036,0.0,5
20230830,102801.79961953127,0.0,5
20230831,102896.03127157109,10668.191573454684,5
20230901,106159.41527936321,0.0,5
20230904,106601.94522664705,0.0,5
20230905,105247.59052480926,0.0,5
20230906,104460.60538678752,0.0,5
20230907,105392.46705397371,11925.607792672283,5
20230908,105011.56981243525,0.0,5
20230911,106416.01837514999,0.0,5
20230912,105647.44273708071,0.0,5
20230913,104315.78838532823,0.0,5
20230914,102965.58428188061,0.0,5
20230915,102130.71983262556,0.0,5
20230918,101996.28026307891,0.0,5
20230919,98650.70551646428,7.275957614183426e-12,5
20230920,99519.37200156458,0.0,5
20230921,99586.66205657148,0.0,5
20230922,105756.10632823943,0.0,5
20230925,109330.65195335961,12873.950885397628,5
20230926,107736.84239227555,0.0,5
20230927,106568.21565847276,0.0,5
20230928,108836.04240316743,0.0,5
20231009,109859.61894317156,0.0,5
20231010,108558.21045012574,0.0,5
20231011,108205.48542807515,0.0,5
20231012,108006.12127527947,0.0,5
20231013,107990.92926910393,0.0,5
20231016,106905.15296750875,0.0,5
20231017,106034.42509076753,0.0,5
20231018,104014.78407302004,7.275957614183426e-12,5
20231019,103600.45689684027,0.0,5
20231020,99932.29129746938,0.0,5
20231023,97110.1892313472,0.0,5
20231024,101558.25033479053,0.0,5
20231025,102500.12721995178,0.0,5
20231026,101044.38924411207,0.0,5
20231027,103333.8200186366,0.0,5
20231030,107483.67837225985,0.0,5
20231031,104317.08876771841,0.0,5
20231101,102731.27889349015,0.0,5
20231102,99970.43541649013,0.0,5
20231103,101135.81790611515,0.0,5
20231106,105463.12467314568,0.0,5
20231107,110893.60657838223,0.0,5
20231108,113676.34279742968,0.0,5
20231109,117596.84849224216,0.0,5
20231110,115363.08186211236,0.0,5
20231113,115353.81821758288,0.0,5
20231114,117102.88204643827,8982.765944282253,5
20231115,117594.13479921705,0.0,5
20231116,117959.10479523224,0.0,5
20231117,117846.72146277723,0.0,5
20231120,122218.18875901304,15109.067496331769,5
20231122,122223.56130368443,15109.067496331769,5
20231124,123031.45853005702,0.0,5
20231127,55806.08346023951,0.0,5
20231128,55471.58146147683,0.0,5
20231129,54189.323799553255,0.0,5
20231130,53966.3224670448,0.0,5
20231201,53854.82180079058,0.0,5
20231204,53288.269722934354,0.0,5
20231205,56509.52296560261,0.0,5
20231206,55392.60601211462,0.0,5
20231207,57626.43991909061,0.0,5
20231208,57076.07504345884,0.0,5
20231211,57876.206936591436,0.0,5
20231214,59743.18135390084,0.0,5
20231215,59209.760091812444,0.0,5
20231218,58542.98351420193,0.0,5
20231219,58542.98351420193,0.0,5
20231220,58342.32204543003,0.0,5
20231221,58292.15667823705,0.0,5
20231222,58442.65277981598,0.0,5
