symbol,entry_date,exit_date,entry_price,exit_price,quantity,actual_return,predicted_return,hold_days,close_reason,position_closed
600203.SH,20250103,20250106,8.76,8.24,2283.10502283105,-5.9360730593607265,21.075908660888672,2,stop_loss,full
002712.SZ,20250103,20250106,5.18,4.76,3861.0038610038614,-8.108108108108107,20.90945816040039,2,stop_loss_next_open,full
002161.SZ,20250103,20250106,5.5,5.06,3636.3636363636365,-8.000000000000007,20.079578399658203,2,stop_loss_next_open,full
002888.SZ,20250103,20250106,18.2,16.99,1098.901098901099,-6.648351648351654,19.848033905029297,2,stop_loss_next_open,full
002357.SZ,20250103,20250109,6.86,7.2,2915.451895043732,4.956268221574342,25.91634178161621,5,horizon_expiry_5d,full
002888.SZ,20250107,20250113,16.68,16.73,1131.692475209022,0.299760191846527,28.08902931213379,5,horizon_expiry_5d,full
002086.SZ,20250107,20250113,2.52,2.48,7490.726383526384,-1.5873015873015885,24.92729377746582,5,horizon_expiry_5d,full
000503.SZ,20250107,20250113,10.0,9.97,1887.6630486486488,-0.2999999999999936,24.622610092163086,5,horizon_expiry_5d,full
600865.SH,20250110,20250113,9.01,8.3,2115.8430381917465,-7.880133185349601,10.670303344726562,2,stop_loss_next_open,full
600530.SH,20250110,20250116,4.36,5.08,4372.418755529274,16.5137614678899,13.409193992614746,5,horizon_expiry_5d,full
600865.SH,20250114,20250120,8.45,9.01,2213.457318918748,6.627218934911248,19.21622085571289,5,horizon_expiry_5d,full
002245.SZ,20250114,20250120,11.1,11.75,1685.0193103480558,5.855855855855859,14.270014762878418,5,horizon_expiry_5d,full
002693.SZ,20250114,20250120,15.77,14.9,1186.0313471695256,-5.516804058338613,13.221250534057617,5,horizon_expiry_5d,full
002184.SZ,20250117,20250123,14.8,14.12,1305.5034932008557,-4.5945945945946045,10.858783721923828,5,horizon_expiry_5d,full
600129.SH,20250117,20250123,20.96,20.34,921.8249856570927,-2.9580152671755773,6.037328720092773,5,horizon_expiry_5d,full
603255.SH,20250121,20250127,30.03,29.45,652.2907901086365,-1.9314019314019375,6.006820201873779,5,horizon_expiry_5d,full
603322.SH,20250121,20250127,38.0,36.45,515.4813796569041,-4.078947368421045,4.273255348205566,5,horizon_expiry_5d,full
002480.SZ,20250121,20250127,5.2,5.3,3766.979312877376,1.9230769230769162,2.3048958778381348,5,horizon_expiry_5d,full
600421.SH,20250124,20250207,5.25,6.26,3674.9470198945237,19.238095238095234,20.956758499145508,5,horizon_expiry_5d,full
000610.SZ,20250205,20250211,12.1,12.31,1581.444200199762,1.735537190082652,19.802982330322266,5,horizon_expiry_5d,full
600446.SH,20250205,20250211,15.0,16.27,1275.6983214944746,8.466666666666663,16.419164657592773,5,horizon_expiry_5d,full
603536.SH,20250205,20250211,10.12,11.14,1890.85719589102,10.079051383399223,15.954192161560059,5,horizon_expiry_5d,full
000417.SZ,20250210,20250214,5.51,5.55,3606.485480315207,0.7259528130671513,13.576430320739746,5,horizon_expiry_5d,full
002186.SZ,20250210,20250214,10.75,10.76,1848.533488049934,0.09302325581395152,9.922261238098145,5,horizon_expiry_5d,full
603061.SH,20250212,20250218,76.7,75.45,269.7150915793987,-1.6297262059973925,7.165524959564209,5,horizon_expiry_5d,full
600599.SH,20250212,20250218,10.37,10.75,1994.9033292323898,3.6644165863066616,7.1137166023254395,5,horizon_expiry_5d,full
603198.SH,20250212,20250218,51.95,52.41,398.21265686506024,0.8854667949951757,6.955975532531738,5,horizon_expiry_5d,full
003018.SZ,20250217,20250221,9.61,9.65,2156.1953870660186,0.41623309053070684,7.7111945152282715,5,horizon_expiry_5d,full
603009.SH,20250219,20250225,47.85,55.7,435.5633962650359,16.40543364681296,14.838375091552734,5,horizon_expiry_5d,full
001319.SZ,20250219,20250225,26.37,29.39,790.3567884445191,11.452408039438753,13.039519309997559,5,horizon_expiry_5d,full
002315.SZ,20250219,20250225,44.67,44.38,466.57059573051197,-0.6492052831878199,10.154830932617188,5,horizon_expiry_5d,full
000615.SZ,20250224,20250228,2.91,2.99,7168.061350093866,2.7491408934707926,12.487993240356445,5,horizon_expiry_5d,full
603007.SH,20250226,20250304,8.16,8.0,2697.0953938512343,-1.960784313725492,14.53358268737793,5,horizon_expiry_5d,full
603959.SH,20250226,20250304,3.73,3.87,5900.348100221468,3.7533512064343197,13.414056777954102,5,horizon_expiry_5d,full
600793.SH,20250226,20250304,18.24,17.9,1206.5953077755523,-1.8640350877192977,8.42359447479248,5,horizon_expiry_5d,full
603697.SH,20250226,20250304,8.65,8.71,2544.3119553556153,0.6936416184971156,8.213566780090332,5,horizon_expiry_5d,full
002291.SZ,20250303,20250307,6.43,7.2,3441.57173252821,11.975116640746508,17.52647590637207,5,horizon_expiry_5d,full
002199.SZ,20250305,20250307,6.71,6.35,3301.9213542069665,-5.365126676602091,15.652254104614258,3,stop_loss,full
