date,action,symbol,price,quantity,reason,predicted_return,partial_ratio,hold_days
20240328,sell,000012.SZ,5.42,3565.0623885918003,horizon_expiry_5d,,1.0,5.0
20240328,buy,000010.SZ,2.3,8695.652173913044,open,2.6447551250457764,,
20240401,sell,000006.SZ,3.97,5167.958656330749,horizon_expiry_5d,,1.0,5.0
20240401,sell,000008.SZ,2.48,8163.265306122448,horizon_expiry_5d,,1.0,5.0
20240401,buy,000002.SZ,8.98,2227.1714922048996,open,-2.629459857940674,,
20240402,sell,000002.SZ,8.5,2227.1714922048996,stop_loss,,1.0,1.0
20240402,buy,000002.SZ,8.5,2352.9411764705883,open,-1.4164938926696777,,
20240403,sell,000017.SZ,8.86,2372.4792408066432,horizon_expiry_5d,,1.0,5.0
20240403,buy,000020.SZ,14.16,1412.4293785310733,open,4.704874038696289,,
20240403,buy,000004.SZ,13.5,1481.4814814814815,open,2.5755491256713867,,
20240408,sell,000010.SZ,2.28,8695.652173913044,horizon_expiry_5d,,1.0,5.0
20240408,sell,000002.SZ,8.0,2352.9411764705883,stop_loss,,1.0,2.0
20240408,sell,000020.SZ,13.1,1412.4293785310733,stop_loss,,1.0,1.0
20240408,buy,000020.SZ,13.1,1526.7175572519084,open,7.726916790008545,,
20240408,buy,000016.SZ,3.23,6191.950464396285,open,5.525729179382324,,
20240408,buy,000002.SZ,8.0,2500.0,open,2.9546444416046143,,
20240410,sell,000004.SZ,12.56,1481.4814814814815,stop_loss,,1.0,3.0
20240410,sell,000002.SZ,7.58,2500.0,stop_loss,,1.0,2.0
20240410,buy,000004.SZ,12.56,1592.3566878980891,open,2.6741981506347656,,
20240410,buy,000002.SZ,7.58,2638.5224274406332,open,2.2600560188293457,,
20240412,sell,000002.SZ,7.1,2638.5224274406332,stop_loss,,1.0,2.0
20240412,buy,000002.SZ,7.1,2816.9014084507044,open,3.981548547744751,,
20240415,sell,000020.SZ,12.28,1526.7175572519084,horizon_expiry_5d,,1.0,5.0
20240415,sell,000016.SZ,3.04,6191.950464396285,horizon_expiry_5d,,1.0,5.0
20240415,sell,000004.SZ,11.17,1592.3566878980891,stop_loss,,1.0,3.0
20240415,buy,000020.SZ,12.28,1628.6644951140065,open,8.478281021118164,,
20240415,buy,000010.SZ,1.96,10204.081632653062,open,5.847390651702881,,
20240416,sell,000020.SZ,11.05,1628.6644951140065,stop_loss,,1.0,1.0
20240416,sell,000010.SZ,1.76,10204.081632653062,stop_loss,,1.0,1.0
20240416,buy,000010.SZ,1.76,11363.636363636364,open,10.889888763427734,,
20240416,buy,000020.SZ,11.05,1809.9547511312217,open,9.697275161743164,,
20240419,sell,000002.SZ,6.7,2816.9014084507044,horizon_expiry_5d,,1.0,5.0
20240419,buy,000002.SZ,6.7,2985.0746268656717,open,2.4166393280029297,,
20240423,sell,000010.SZ,1.87,11363.636363636364,horizon_expiry_5d,,1.0,5.0
20240423,sell,000020.SZ,11.39,1809.9547511312217,horizon_expiry_5d,,1.0,5.0
20240423,buy,000017.SZ,6.91,2894.356005788712,open,8.945878982543945,,
20240423,buy,000007.SZ,3.61,5540.16620498615,open,0.33534494042396545,,
20240425,sell,000007.SZ,3.82,2770.083102493075,take_profit,,0.5,2.0
20240425,buy,000012.SZ,5.44,3676.4705882352937,open,1.4430686235427856,,
20240426,sell,000002.SZ,6.87,2985.0746268656717,horizon_expiry_5d,,1.0,5.0
20240429,buy,001366.SZ,12.42,1610.3059581320451,open,1.9399069547653198,,
20240430,sell,000017.SZ,7.12,2894.356005788712,horizon_expiry_5d,,1.0,5.0
20240430,sell,000007.SZ,4.24,2770.083102493075,horizon_expiry_5d,,1.0,5.0
20240430,sell,001366.SZ,13.66,805.1529790660226,take_profit,,0.5,1.0
20240430,buy,001360.SZ,13.84,1445.0867052023123,open,1.2202045917510986,,
20240430,buy,001367.SZ,37.25,536.9127516778524,open,0.7514944672584534,,
20240507,sell,000012.SZ,5.68,3676.4705882352937,horizon_expiry_5d,,1.0,5.0
20240507,sell,001360.SZ,14.79,722.5433526011561,take_profit,,0.5,2.0
20240507,sell,001367.SZ,39.7,268.4563758389262,take_profit,,0.5,2.0
20240507,buy,001368.SZ,21.49,930.6654257794323,open,-1.3988213539123535,,
20240509,sell,001366.SZ,14.06,805.1529790660226,horizon_expiry_5d,,1.0,5.0
20240510,sell,001360.SZ,15.42,722.5433526011561,horizon_expiry_5d,,1.0,5.0
20240510,sell,001367.SZ,38.9,268.4563758389262,horizon_expiry_5d,,1.0,5.0
20240513,buy,000020.SZ,11.3,1769.9115044247787,open,5.187106132507324,,
20240514,sell,001368.SZ,21.12,930.6654257794323,horizon_expiry_5d,,1.0,5.0
20240514,buy,000016.SZ,2.97,6734.0067340067335,open,3.2972939014434814,,
20240514,buy,000009.SZ,10.4,1923.076923076923,open,1.2786556482315063,,
20240515,buy,000017.SZ,7.13,2805.0490883590464,open,4.612778186798096,,
20240520,sell,000020.SZ,12.25,1769.9115044247787,horizon_expiry_5d,,1.0,5.0
20240520,buy,001366.SZ,14.08,1420.4545454545455,open,-4.253310680389404,,
20240521,sell,000016.SZ,2.91,6734.0067340067335,horizon_expiry_5d,,1.0,5.0
20240521,sell,000009.SZ,10.27,1923.076923076923,horizon_expiry_5d,,1.0,5.0
20240521,sell,001366.SZ,14.44,710.2272727272727,take_profit,,0.5,1.0
20240521,buy,000016.SZ,2.91,6872.852233676976,open,0.9184638261795044,,
20240521,buy,000009.SZ,10.27,1947.4196689386563,open,0.5614420175552368,,
20240522,sell,000017.SZ,7.15,2805.0490883590464,horizon_expiry_5d,,1.0,5.0
20240523,buy,000017.SZ,6.88,2906.9767441860467,open,0.9505669474601746,,
20240524,sell,000016.SZ,2.73,6872.852233676976,stop_loss,,1.0,3.0
20240524,buy,000016.SZ,2.73,7326.007326007326,open,0.6625470519065857,,
20240527,sell,001366.SZ,15.58,710.2272727272727,horizon_expiry_5d,,1.0,5.0
20240527,buy,001360.SZ,14.73,1357.7732518669382,open,1.2722804546356201,,
20240528,sell,000009.SZ,9.87,1947.4196689386563,horizon_expiry_5d,,1.0,5.0
20240528,buy,000012.SZ,5.7,3508.771929824561,open,2.1910338401794434,,
20240530,sell,000017.SZ,6.74,2906.9767441860467,horizon_expiry_5d,,1.0,5.0
20240530,buy,000008.SZ,2.1,9523.809523809523,open,1.4348493814468384,,
20240531,sell,000016.SZ,2.72,7326.007326007326,horizon_expiry_5d,,1.0,5.0
20240531,buy,000001.SZ,11.11,1800.1800180018004,open,0.8394719362258911,,
20240603,sell,001360.SZ,13.89,1357.7732518669382,horizon_expiry_5d,,1.0,5.0
20240603,buy,000010.SZ,1.67,11976.047904191617,open,2.463242530822754,,
20240604,sell,000012.SZ,5.56,3508.771929824561,horizon_expiry_5d,,1.0,5.0
20240604,buy,000004.SZ,9.69,2063.983488132095,open,2.169243812561035,,
20240605,sell,000010.SZ,1.56,11976.047904191617,stop_loss,,1.0,2.0
20240605,buy,000016.SZ,2.49,8032.128514056224,open,3.029853105545044,,
20240606,sell,000008.SZ,1.98,9523.809523809523,horizon_expiry_5d,,1.0,5.0
20240606,sell,000004.SZ,8.42,2063.983488132095,stop_loss,,1.0,2.0
20240606,sell,000016.SZ,2.35,8032.128514056224,stop_loss,,1.0,1.0
20240606,buy,000016.SZ,2.35,8510.63829787234,open,6.518725395202637,,
20240606,buy,000010.SZ,1.46,13698.630136986301,open,4.9482293128967285,,
20240607,sell,000001.SZ,10.99,1800.1800180018004,horizon_expiry_5d,,1.0,5.0
20240607,buy,000004.SZ,8.8,2272.7272727272725,open,3.679629325866699,,
20240614,sell,000016.SZ,2.43,8510.63829787234,horizon_expiry_5d,,1.0,5.0
20240614,sell,000010.SZ,1.45,13698.630136986301,horizon_expiry_5d,,1.0,5.0
20240614,buy,000001.SZ,10.18,1964.6365422396857,open,2.1287343502044678,,
20240614,buy,000006.SZ,3.4,5882.352941176471,open,-0.10841116309165955,,
20240617,sell,000004.SZ,9.25,2272.7272727272725,horizon_expiry_5d,,1.0,5.0
20240617,buy,000010.SZ,1.4,14285.714285714286,open,3.444838523864746,,
20240618,sell,000006.SZ,3.67,2941.1764705882356,take_profit,,0.5,2.0
20240618,buy,603421.SH,4.9,4081.632653061224,open,4.91118860244751,,
20240620,sell,000010.SZ,1.6,7142.857142857143,take_profit,,0.5,3.0
20240620,buy,603416.SH,31.38,637.3486297004462,open,1.8744919300079346,,
20240621,sell,000001.SZ,10.0,1964.6365422396857,horizon_expiry_5d,,1.0,5.0
20240621,sell,000006.SZ,3.7,2941.1764705882356,horizon_expiry_5d,,1.0,5.0
20240621,buy,603439.SH,12.81,1561.28024980484,open,1.9482817649841309,,
20240624,sell,000010.SZ,1.94,7142.857142857143,horizon_expiry_5d,,1.0,5.0
20240624,sell,603421.SH,4.42,4081.632653061224,stop_loss,,1.0,4.0
20240624,sell,603416.SH,29.0,637.3486297004462,stop_loss,,1.0,2.0
20240624,buy,001366.SZ,10.96,1824.817518248175,open,5.872064590454102,,
20240624,buy,000016.SZ,2.1,9523.809523809523,open,4.637230396270752,,
20240624,buy,000017.SZ,5.93,3372.681281618887,open,3.6842360496520996,,
20240628,sell,603439.SH,12.76,1561.28024980484,horizon_expiry_5d,,1.0,5.0
20240628,buy,603499.SH,13.48,1483.6795252225518,open,3.26263165473938,,
20240701,sell,001366.SZ,11.18,1824.817518248175,horizon_expiry_5d,,1.0,5.0
20240701,sell,000016.SZ,2.14,9523.809523809523,horizon_expiry_5d,,1.0,5.0
20240701,sell,000017.SZ,6.01,3372.681281618887,horizon_expiry_5d,,1.0,5.0
20240701,buy,000017.SZ,6.01,3327.787021630616,open,0.267348051071167,,
20240701,buy,000009.SZ,8.67,2306.805074971165,open,-0.5291342735290527,,
20240701,buy,603416.SH,28.1,711.7437722419928,open,-1.2959951162338257,,
20240705,sell,603499.SH,13.09,1483.6795252225518,horizon_expiry_5d,,1.0,5.0
20240705,sell,000017.SZ,6.33,1663.893510815308,take_profit,,0.5,4.0
20240705,buy,603499.SH,13.09,1527.8838808250573,open,5.7020673751831055,,
20240708,sell,000017.SZ,6.11,1663.893510815308,horizon_expiry_5d,,1.0,5.0
20240708,sell,000009.SZ,8.1,2306.805074971165,horizon_expiry_5d,,1.0,5.0
20240708,sell,603416.SH,26.59,711.7437722419928,horizon_expiry_5d,,1.0,5.0
20240708,buy,603388.SH,1.74,11494.252873563219,open,20.119596481323242,,
20240708,buy,000014.SZ,8.61,2322.8803716608595,open,7.710264682769775,,
20240708,buy,603416.SH,26.59,752.162467092892,open,4.18682861328125,,
20240710,sell,603388.SH,1.62,11494.252873563219,stop_loss,,1.0,2.0
20240712,sell,603499.SH,13.0,1527.8838808250573,horizon_expiry_5d,,1.0,5.0
20240712,buy,603388.SH,1.71,11695.906432748538,open,60.935665130615234,,
20240715,sell,000014.SZ,8.39,2322.8803716608595,horizon_expiry_5d,,1.0,5.0
20240715,sell,603416.SH,27.21,752.162467092892,horizon_expiry_5d,,1.0,5.0
20240715,buy,603489.SH,18.32,1091.703056768559,open,2.64176082611084,,
20240715,buy,603486.SH,41.57,481.11618955977866,open,2.102141857147217,,
20240719,sell,603388.SH,1.95,11695.906432748538,horizon_expiry_5d,,1.0,5.0
20240719,buy,603206.SH,11.63,1719.6904557179707,open,21.331579208374023,,
20240719,buy,603203.SH,22.58,885.7395925597875,open,3.3374791145324707,,
20240722,sell,603489.SH,18.21,1091.703056768559,horizon_expiry_5d,,1.0,5.0
20240722,sell,603486.SH,41.03,481.11618955977866,horizon_expiry_5d,,1.0,5.0
20240722,buy,603236.SH,49.53,403.7956793862306,open,2.184415578842163,,
20240722,buy,603259.SH,40.07,499.12652857499376,open,2.0722784996032715,,
20240723,sell,603203.SH,21.45,885.7395925597875,stop_loss,,1.0,2.0
20240723,buy,603266.SH,16.27,1229.2562999385373,open,7.059479713439941,,
20240724,sell,603236.SH,46.43,403.7956793862306,stop_loss,,1.0,2.0
20240724,sell,603266.SH,15.33,1229.2562999385373,stop_loss,,1.0,1.0
20240724,buy,603266.SH,15.33,1304.631441617743,open,26.9436092376709,,
20240726,sell,603206.SH,11.7,1719.6904557179707,horizon_expiry_5d,,1.0,5.0
20240726,buy,603203.SH,20.86,958.7727708533077,open,4.110870838165283,,
20240729,sell,603259.SH,39.0,499.12652857499376,horizon_expiry_5d,,1.0,5.0
20240729,buy,603392.SH,66.18,302.2061045633121,open,3.898357629776001,,
20240802,sell,603266.SH,17.06,1304.631441617743,horizon_expiry_5d,,1.0,5.0
20240802,buy,001300.SZ,11.17,1790.5102954341987,open,6.877468585968018,,
20240802,buy,001287.SZ,15.48,1291.9896640826873,open,2.071119546890259,,
20240805,sell,603203.SH,19.57,958.7727708533077,stop_loss,,1.0,4.0
20240807,sell,603392.SH,68.44,302.2061045633121,horizon_expiry_5d,,1.0,5.0
20240807,buy,603322.SH,25.13,795.8615200955035,open,5.376502990722656,,
20240809,sell,001300.SZ,10.57,1790.5102954341987,horizon_expiry_5d,,1.0,5.0
20240809,sell,001287.SZ,14.85,1291.9896640826873,horizon_expiry_5d,,1.0,5.0
20240809,buy,603108.SH,13.15,1520.912547528517,open,10.740442276000977,,
20240809,buy,001209.SZ,12.93,1546.7904098994586,open,8.236074447631836,,
20240813,sell,603322.SH,23.68,795.8615200955035,stop_loss,,1.0,4.0
20240813,buy,603002.SH,4.63,4319.654427645788,open,12.189988136291504,,
20240816,sell,603108.SH,13.06,1520.912547528517,horizon_expiry_5d,,1.0,5.0
20240816,sell,001209.SZ,12.81,1546.7904098994586,horizon_expiry_5d,,1.0,5.0
20240816,buy,001319.SZ,15.02,1331.5579227696405,open,8.892250061035156,,
20240816,buy,603398.SH,11.94,1675.0418760469013,open,5.130334854125977,,
20240820,sell,603002.SH,4.57,4319.654427645788,horizon_expiry_5d,,1.0,5.0
20240820,buy,603477.SH,17.58,1137.656427758817,open,5.886479377746582,,
20240823,sell,001319.SZ,16.37,1331.5579227696405,horizon_expiry_5d,,1.0,5.0
20240823,sell,603398.SH,11.96,1675.0418760469013,horizon_expiry_5d,,1.0,5.0
20240823,buy,600775.SH,7.2,2777.777777777778,open,54.60541915893555,,
20240823,buy,002676.SZ,4.12,4854.368932038835,open,12.011690139770508,,
20240827,sell,603477.SH,17.15,1137.656427758817,horizon_expiry_5d,,1.0,5.0
20240827,buy,600189.SH,6.51,3072.1966205837175,open,52.20073318481445,,
20240830,sell,600775.SH,7.41,2777.777777777778,horizon_expiry_5d,,1.0,5.0
20240830,sell,002676.SZ,4.21,4854.368932038835,horizon_expiry_5d,,1.0,5.0
20240830,buy,002786.SZ,6.87,2911.208151382824,open,52.13828659057617,,
20240830,buy,600792.SH,3.08,6493.506493506493,open,48.547000885009766,,
20240903,sell,600189.SH,6.76,3072.1966205837175,horizon_expiry_5d,,1.0,5.0
20240903,buy,603985.SH,9.59,2085.505735140772,open,51.0089225769043,,
20240906,sell,002786.SZ,7.05,2911.208151382824,horizon_expiry_5d,,1.0,5.0
20240906,sell,600792.SH,2.99,6493.506493506493,horizon_expiry_5d,,1.0,5.0
20240906,buy,000016.SZ,2.5,8000.0,open,9.48979663848877,,
20240906,buy,603050.SH,22.41,892.458723784025,open,6.346722602844238,,
20240910,sell,603985.SH,9.32,2085.505735140772,horizon_expiry_5d,,1.0,5.0
20240910,buy,600589.SH,2.22,9009.009009009009,open,6.108904838562012,,
20240913,sell,000016.SZ,2.46,8000.0,horizon_expiry_5d,,1.0,5.0
20240913,sell,603050.SH,22.18,892.458723784025,horizon_expiry_5d,,1.0,5.0
20240913,buy,605588.SH,34.39,581.5644082582146,open,10.880966186523438,,
20240913,buy,002514.SZ,4.24,4716.981132075472,open,7.425886154174805,,
20240919,sell,600589.SH,2.32,9009.009009009009,horizon_expiry_5d,,1.0,5.0
20240919,buy,001269.SZ,22.55,886.9179600886918,open,8.110992431640625,,
20240924,sell,605588.SH,35.95,581.5644082582146,horizon_expiry_5d,,1.0,5.0
20240924,sell,002514.SZ,4.45,4716.981132075472,horizon_expiry_5d,,1.0,5.0
20240924,buy,603219.SH,12.16,1644.7368421052631,open,3.930504560470581,,
20240924,buy,603378.SH,6.08,3289.4736842105262,open,3.528489828109741,,
20240924,buy,603223.SH,7.77,2574.002574002574,open,3.287975549697876,,
20240926,sell,001269.SZ,24.39,886.9179600886918,horizon_expiry_5d,,1.0,5.0
20240926,sell,603378.SH,6.66,1644.7368421052631,take_profit,,0.5,2.0
20240926,buy,000062.SZ,26.15,764.8183556405354,open,2.9549038410186768,,
20240930,sell,603219.SH,14.51,822.3684210526316,take_profit,,0.5,4.0
20240930,sell,603223.SH,9.04,1287.001287001287,take_profit,,0.5,4.0
20240930,sell,000062.SZ,29.39,382.4091778202677,take_profit,,0.5,2.0
20240930,buy,002309.SZ,2.24,8928.571428571428,open,1.1254088878631592,,
20241008,sell,603219.SH,14.63,822.3684210526316,horizon_expiry_5d,,1.0,5.0
20241008,sell,603378.SH,7.27,1644.7368421052631,horizon_expiry_5d,,1.0,5.0
20241008,sell,603223.SH,9.5,1287.001287001287,horizon_expiry_5d,,1.0,5.0
20241008,buy,000908.SZ,3.24,6172.839506172839,open,2.706404685974121,,
20241008,buy,002822.SZ,1.89,10582.010582010582,open,1.9981470108032227,,
20241008,buy,603559.SH,7.41,2699.055330634278,open,1.3052828311920166,,
20241009,sell,002309.SZ,2.02,8928.571428571428,stop_loss,,1.0,2.0
20241009,buy,601000.SH,4.66,4291.845493562231,open,1.8441147804260254,,
20241010,sell,000062.SZ,27.64,382.4091778202677,horizon_expiry_5d,,1.0,5.0
20241010,sell,000908.SZ,3.57,3086.4197530864194,take_profit,,0.5,2.0
20241010,sell,002822.SZ,1.71,10582.010582010582,stop_loss,,1.0,2.0
20241010,buy,600550.SH,8.83,2265.0056625141565,open,5.192872047424316,,
20241010,buy,600715.SH,1.79,11173.184357541899,open,3.060098171234131,,
20241011,sell,603559.SH,8.14,1349.527665317139,take_profit,,0.5,3.0
20241014,sell,600550.SH,9.92,1132.5028312570782,take_profit,,0.5,2.0
20241015,sell,000908.SZ,4.14,3086.4197530864194,horizon_expiry_5d,,1.0,5.0
20241015,sell,603559.SH,8.07,1349.527665317139,horizon_expiry_5d,,1.0,5.0
20241015,sell,600715.SH,1.99,5586.592178770949,take_profit,,0.5,3.0
20241015,buy,000766.SZ,14.86,1345.8950201884254,open,10.25700855255127,,
20241015,buy,601872.SH,7.08,2824.8587570621467,open,8.918865203857422,,
20241016,sell,601000.SH,4.78,4291.845493562231,horizon_expiry_5d,,1.0,5.0
20241016,buy,600795.SH,5.12,3906.25,open,8.389293670654297,,
20241017,sell,600550.SH,10.1,1132.5028312570782,horizon_expiry_5d,,1.0,5.0
20241017,sell,600715.SH,1.94,5586.592178770949,horizon_expiry_5d,,1.0,5.0
20241017,buy,601101.SH,9.23,2166.8472372697724,open,10.455162048339844,,
20241017,buy,600605.SH,29.98,667.11140760507,open,9.597066879272461,,
20241022,sell,000766.SZ,15.78,1345.8950201884254,horizon_expiry_5d,,1.0,5.0
20241022,sell,601872.SH,7.19,2824.8587570621467,horizon_expiry_5d,,1.0,5.0
20241022,buy,000526.SZ,48.67,410.9307581672488,open,8.214540481567383,,
20241022,buy,002899.SZ,16.01,1249.2192379762648,open,5.658918380737305,,
20241023,sell,600795.SH,5.25,3906.25,horizon_expiry_5d,,1.0,5.0
20241023,sell,600605.SH,34.54,333.555703802535,take_profit,,0.5,4.0
20241023,buy,002786.SZ,10.97,1823.1540565177756,open,3.0148231983184814,,
20241024,sell,601101.SH,9.19,2166.8472372697724,horizon_expiry_5d,,1.0,5.0
20241024,sell,600605.SH,31.09,333.555703802535,horizon_expiry_5d,,1.0,5.0
20241024,sell,000526.SZ,46.03,410.9307581672488,stop_loss,,1.0,2.0
20241024,sell,002786.SZ,12.07,911.5770282588878,take_profit,,0.5,1.0
20241024,buy,603822.SH,32.74,610.8735491753207,open,4.093596458435059,,
20241024,buy,000526.SZ,46.03,434.4992396263306,open,3.3880040645599365,,
20241024,buy,601166.SH,19.17,1043.2968179447053,open,3.2962777614593506,,
20241029,sell,002899.SZ,16.87,1249.2192379762648,horizon_expiry_5d,,1.0,5.0
20241029,buy,002355.SZ,6.91,2894.356005788712,open,7.704054355621338,,
20241030,sell,002786.SZ,13.05,911.5770282588878,horizon_expiry_5d,,1.0,5.0
20241030,buy,601567.SH,31.78,629.3266205160478,open,5.113672256469727,,
20241031,sell,603822.SH,33.94,610.8735491753207,horizon_expiry_5d,,1.0,5.0
20241031,sell,000526.SZ,47.1,434.4992396263306,horizon_expiry_5d,,1.0,5.0
20241031,sell,601166.SH,18.28,1043.2968179447053,horizon_expiry_5d,,1.0,5.0
